surface,chambres,sdb,etage,location,prix
Not Specified,4 chambres,4 sdbs,Étage 1,"Rabat, Hay Riad",8 000 000
Not Specified,3 chambres,Not Specified,Étage 2,"Rabat, Hay Riad",3 800 000
156 m²,3 chambres,2 sdbs,Étage 4,"Rabat, Souissi",6 600 000
138 m²,3 chambres,2 sdbs,Étage 2,Rabat,Not Specified
137 m²,3 chambres,2 sdbs,Étage 2,Rabat,Not Specified
150 m²,3 chambres,2 sdbs,Étage 1,Rabat,3 400 000
120 m²,2 chambres,2 sdbs,Rez de chaussée,Rabat,2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,2 550 000
210 m²,3 chambres,3 sdbs,Étage 4,Rabat,4 300 000
135 m²,3 chambres,3 sdbs,Étage 1,Rabat,2 200 000
Not Specified,4 chambres,4 sdbs,Étage 1,Rabat,8 000 000
140 m²,3 chambres,2 sdbs,Not Specified,Rabat,3 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,Not Specified
Not Specified,2 chambres,2 sdbs,Étage 1,Rabat,850 000
Not Specified,3 chambres,2 sdbs,Étage 1,Rabat,3 200 000
128 m²,2 chambres,2 sdbs,Étage 1,Rabat,6 500 000
122 m²,3 chambres,3 sdbs,Étage 3,Rabat,3 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,740 000
150 m²,3 chambres,1 sdb,Étage 7,Rabat,3 800 000
200 m²,3 chambres,2 sdbs,Étage 5,Rabat,3 100 000
156 m²,3 chambres,2 sdbs,Étage 4,Rabat,6 600 000
117 m²,3 chambres,2 sdbs,Étage 4,Rabat,2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,1 995 000
170 m²,3 chambres,3 sdbs,Étage 4,Rabat,3 200 000
150 m²,2 chambres,1 sdb,Étage 1,Rabat,Not Specified
121 m²,3 chambres,2 sdbs,Rez de chaussée,Rabat,2 350 000
369 m²,4 chambres,2 sdbs,Étage 1,Rabat,3 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,920 000
Not Specified,4 chambres,3 sdbs,Étage 4,Rabat,3 850 000
100 m²,2 chambres,2 sdbs,Rez de chaussée,Rabat,Not Specified
110 m²,2 chambres,2 sdbs,Étage 4,Rabat,1 300 000
156 m²,4 chambres,3 sdbs,Étage 3,Rabat,Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,589 050
119 m²,3 chambres,3 sdbs,Étage 1,Rabat,Not Specified
144 m²,3 chambres,2 sdbs,Rez de chaussée,Rabat,3 250 000
Not Specified,3 chambres,2 sdbs,Étage 3,Rabat,Not Specified
155 m²,4 chambres,3 sdbs,Rez de chaussée,Rabat,3 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,3 700 000
Not Specified,2 chambres,3 sdbs,Rez de chaussée,Rabat,1 200 000
65 m²,1 chambre,1 sdb,Étage 1,Rabat,5 000
95 m²,2 chambres,2 sdbs,Étage 3,Rabat,1 950 000
108 m²,3 chambres,1 sdb,Étage 3,Rabat,2 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,760 000
170 m²,3 chambres,2 sdbs,Étage 5,Rabat,4 000 000
Not Specified,1 chambre,Not Specified,Rez de chaussée,Rabat,Not Specified
Not Specified,4 chambres,3 sdbs,Étage 4,Rabat,Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,477 000
